Id,SalePrice
1461,130934.05415855181
1462,136793.40276744252
1463,156436.30323162157
1464,178735.94528114615
1465,219827.8198441441
1466,178849.5819375705
1467,150160.86594777083
1468,174998.66511548482
1469,179382.97871345727
1470,110008.45846632592
1471,186554.035871689
1472,119627.76249562966
1473,128832.20034085197
1474,174908.73072761117
1475,140015.2712146887
1476,418524.17714036757
1477,258240.6038159523
1478,328768.3647066789
1479,268752.1024266417
1480,438412.5878410437
1481,309048.1178410384
1482,209392.5377469181
1483,160021.97975952222
1484,170095.53455358464
1485,178253.05955805845
1486,202115.88627697906
1487,337857.81273666205
1488,262238.92274661746
1489,189472.09345810497
1490,177405.5558556698
1491,202649.23694958465
1492,130494.66612072664
1493,177158.2127454695
1494,311090.46812689706
1495,308426.70842882735
1496,201324.9219284932
1497,213716.28330524385
1498,170901.6318909618
1499,170901.6318909618
1500,157656.76550198486
1501,178400.3598460503
1502,167499.00685111224
1503,263288.9527731628
1504,255648.22219580878
1505,212635.15092393346
1506,184923.03098919833
1507,206604.64843429328
1508,186177.2706181857
1509,178816.22989831024
1510,142316.21499402882
1511,142356.63297926282
1512,156966.73103803882
1513,182377.72867196982
1514,137315.4729780773
1515,160899.3153347954
1516,177357.19389158714
1517,133106.10549347932
1518,156236.97598055124
1519,206019.68469001568
1520,130252.84889184554
1521,130707.88938801154
1522,178256.69272072642
1523,110789.91385135904
1524,128289.86040584797
1525,123248.14447364229
1526,120971.75102561075
1527,110584.44638311972
1528,127159.128757016
1529,142030.21872181623
1530,168872.8227857257
1531,135304.60897595086
1532,105628.87046517432
1533,143216.62920734176
1534,125806.43113899988
1535,140036.14790514592
1536,130922.62785449548
1537,91668.59121477934
1538,197879.483139463
1539,272523.60508816404
1540,146139.28181643062
1541,177549.67808413625
1542,140627.67369271643
1543,226639.00312871108
1544,79775.36587648872
1545,124171.72293331614
1546,151257.9693102795
1547,134655.4920027618
1548,140771.59739538992
1549,135484.97551953112
1550,156404.75764631567
1551,127403.46641528165
1552,147829.71126656764
1553,139748.7741248619
1554,117190.38731327675
1555,141032.0486473788
1556,113121.50700749151
1557,126048.09329659262
1558,119243.62558090163
1559,134638.69229328065
1560,154800.02358598777
1561,132011.1392755336
1562,128658.82067823784
1563,119053.59431857248
1564,143602.48387689434
1565,156219.33615315234
1566,213306.21020084247
1567,91890.1811794133
1568,194194.1829920202
1569,131321.20674003425
1570,141284.3149637199
1571,125347.4192070165
1572,130520.28779145378
1573,213721.01458919214
1574,142988.1594545322
1575,190623.91206943535
1576,187771.34199586816
1577,187616.1357308848
1578,175054.2495732422
1579,134285.039222551
1580,197612.62655284075
1581,124484.10749178918
1582,133007.0950074862
1583,325305.1537674049
1584,244210.96311070578
1585,140229.15097542637
1586,73653.9076031443
1587,123889.27347354456
1588,130512.93247972277
1589,113269.53278644776
1590,131937.0623381844
1591,94440.41053198838
1592,127700.85992120214
1593,136805.93897598967
1594,154357.89526787735
1595,136767.7371823185
1596,241131.25113126874
1597,155573.88497983746
1598,191008.48374375878
1599,236744.28525503565
1600,216988.696208983
1601,63448.155817518054
1602,142389.26993277937
1603,106677.6595880432
1604,244611.56556007106
1605,277114.90389838617
1606,157687.50311308083
1607,198550.79463614544
1608,194272.16396451474
1609,180654.3781480128
1610,148503.81064615236
1611,143089.36257620045
1612,156307.27755705724
1613,143276.23719248807
1614,120730.25358285787
1615,96347.78490565672
1616,96347.78490565672
1617,106822.07687900036
